,precision,recall,f1-score,support
آ,1.0,1.0,1.0,54.0
ا,1.0,0.9811320754716981,0.9904761904761905,53.0
ب,0.75,0.9622641509433962,0.8429752066115702,53.0
پ,0.95,0.7169811320754716,0.8172043010752689,53.0
ت,0.9615384615384616,0.9433962264150944,0.9523809523809523,53.0
ن,0.9811320754716981,0.9629629629629629,0.9719626168224299,54.0
م,0.9814814814814815,1.0,0.9906542056074766,53.0
accuracy,0.938337801608579,0.938337801608579,0.938337801608579,0.938337801608579
macro avg,0.9463074312130917,0.938105221124089,0.937950496139127,373.0
weighted avg,0.9465447427762164,0.938337801608579,0.9382080340065376,373.0
